ticker,name,sector,region,country,indices
010140.KS,Samsung Heavy Industries,Heavy Industries,Asie,Corée du Sud,KOSPI 200
010950.KS,S-Oil,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
011070.KS,LG Innotek,IT,Asie,Corée du Sud,KOSPI 200
011170.KS,Lotte Chemical,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
011200.KS,HMM,Industrials,Asie,Corée du Sud,KOSPI 200
011210.KS,Hyundai WIA,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
011780.KS,Kumho Petrochemical,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
011790.KS,SKC,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
012330.KS,Hyundai Mobis,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
012450.KS,Hanwha Aerospace,Industrials,Asie,Corée du Sud,KOSPI 200
0126Z0.KS,Samsung Epis,Health Care,Asie,Corée du Sud,KOSPI 200
012750.KS,S-1,Industrials,Asie,Corée du Sud,KOSPI 200
014680.KS,Hansol Chemical,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
014820.KS,Dongwon Systems,Steels & Materials,Asie,Corée du Sud,KOSPI 200
015760.KS,KEPCO,Consumer Staples,Asie,Corée du Sud,KOSPI 200
016360.KS,Samsung Securities,Financials,Asie,Corée du Sud,KOSPI 200
0175.HK,Geely Auto,Commerce & Industry,Asie,Hong Kong,Hang Seng
017670.KS,SK Telecom,Communication Services,Asie,Corée du Sud,KOSPI 200
017800.KS,Hyundai Elevator,Heavy Industries,Asie,Corée du Sud,KOSPI 200
017960.KS,Hankuk Carbon,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
018260.KS,Samsung SDS,IT,Asie,Corée du Sud,KOSPI 200
018880.KS,Hanon Systems,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
021240.KS,Coway,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
022100.KS,POSCO DX,IT,Asie,Corée du Sud,KOSPI 200
023530.KS,Lotte Shopping,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
0241.HK,Alibaba Health,Commerce & Industry,Asie,Hong Kong,Hang Seng
024110.KS,Industrial Bank of Korea,Financials,Asie,Corée du Sud,KOSPI 200
0267.HK,CITIC Limited,Commerce & Industry,Asie,Hong Kong,Hang Seng
026960.KS,Dongsuh,Consumer Staples,Asie,Corée du Sud,KOSPI 200
028050.KS,Samsung E&A,Constructions,Asie,Corée du Sud,KOSPI 200
028260.KS,Samsung C&T,Constructions,Asie,Corée du Sud,KOSPI 200
0285.HK,BYD Electronics,Commerce & Industry,Asie,Hong Kong,Hang Seng
028670.KS,Pan Ocean,Industrials,Asie,Corée du Sud,KOSPI 200
0288.HK,WH Group,Commerce & Industry,Asie,Hong Kong,Hang Seng
0291.HK,China Resources Beer,Commerce & Industry,Asie,Hong Kong,Hang Seng
029780.KS,Samsung Card,Financials,Asie,Corée du Sud,KOSPI 200
0300.HK,Midea Group,Commerce & Industry,Asie,Hong Kong,Hang Seng
030000.KS,Cheil Worldwide,Communication Services,Asie,Corée du Sud,KOSPI 200
030200.KS,KT,Communication Services,Asie,Corée du Sud,KOSPI 200
0316.HK,Orient Overseas (International) Limited,Commerce & Industry,Asie,Hong Kong,Hang Seng
0322.HK,Tingyi,Commerce & Industry,Asie,Hong Kong,Hang Seng
032640.KS,LG Uplus,Communication Services,Asie,Corée du Sud,KOSPI 200
032830.KS,Samsung Life,Financials,Asie,Corée du Sud,KOSPI 200
033780.KS,KT&G,Consumer Staples,Asie,Corée du Sud,KOSPI 200
034020.KS,Doosan Enerbility,Heavy Industries,Asie,Corée du Sud,KOSPI 200
034220.KS,LG Display,IT,Asie,Corée du Sud,KOSPI 200
034230.KS,Paradise,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
034730.KS,SK,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
035250.KS,Kangwon Land,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
035420.KS,Naver,Communication Services,Asie,Corée du Sud,KOSPI 200
035720.KS,Kakao,Communication Services,Asie,Corée du Sud,KOSPI 200
036460.KS,Korea Gas,Consumer Staples,Asie,Corée du Sud,KOSPI 200
036570.KS,NC,Communication Services,Asie,Corée du Sud,KOSPI 200
0386.HK,Sinopec Corp,Commerce & Industry,Asie,Hong Kong,Hang Seng
0388.HK,HKEx Limited,Finance,Asie,Hong Kong,Hang Seng
039490.KS,Kiwoom Securities,Financials,Asie,Corée du Sud,KOSPI 200
042660.KS,Hanwha Ocean,Heavy Industries,Asie,Corée du Sud,KOSPI 200
042700.KS,Hanmi Semiconductor,IT,Asie,Corée du Sud,KOSPI 200
047040.KS,Daewoo E&C,Constructions,Asie,Corée du Sud,KOSPI 200
047050.KS,POSCO International,Industrials,Asie,Corée du Sud,KOSPI 200
047810.KS,Korea Aerospace,Industrials,Asie,Corée du Sud,KOSPI 200
051600.KS,KEPCO KPS,Constructions,Asie,Corée du Sud,KOSPI 200
051900.KS,LG H&H,Consumer Staples,Asie,Corée du Sud,KOSPI 200
051910.KS,LG Chem,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
052690.KS,KEPCO E&C,Constructions,Asie,Corée du Sud,KOSPI 200
055550.KS,Shinhan Financial,Financials,Asie,Corée du Sud,KOSPI 200
062040.KS,Sanil Electric,Heavy Industries,Asie,Corée du Sud,KOSPI 200
064350.KS,Hyundai Rotem,Heavy Industries,Asie,Corée du Sud,KOSPI 200
064400.KS,LG CNS,IT,Asie,Corée du Sud,KOSPI 200
066570.KS,LG Electronics,IT,Asie,Corée du Sud,KOSPI 200
